ZIPCODE,CAPACITY,DATE
92252,3.471,1/7/2019
93063,4.674,1/7/2019
90605,6.172,1/7/2019
91750,2.845,1/7/2019
92880,6.653,1/7/2019
92404,3.072,1/7/2019
92336,2.597,1/7/2019
93013,4.779,1/7/2019
93257,4.359,1/7/2019
92507,2.71,1/7/2019
90703,2.764,1/7/2019
92683,4.155,1/7/2019
92394,3.631,1/7/2019
91381,5.158,1/7/2019
91387,3.614,1/7/2019
91739,2.488,1/7/2019
90245,2.112,1/7/2019
92392,2.71,1/7/2019
92630,4.648,1/7/2019
91764,2.71,1/7/2019
91761,7.396,1/7/2019
92336,3.351,1/7/2019
92596,3.614,1/7/2019
91710,3.811,1/7/2019
93291,6.099,1/7/2019
91791,8.023,1/7/2019
93265,8.668,1/7/2019
93536,5.207,1/7/2019
92882,5.865,1/7/2019
90505,5.975,1/7/2019
93117,1.798,1/7/2019
90808,4.468,1/7/2019
92264,7.822,1/7/2019
90260,8.8,1/7/2019
92882,7.261,1/7/2019
93552,6.162,1/7/2019
90803,2.662,1/7/2019
92407,4.928,1/7/2019
93561,7.069,1/7/2019
91381,9.219,1/7/2019
91739,5.765,1/7/2019
90815,4.311,1/7/2019
92626,8.69,1/7/2019
92392,4.554,1/7/2019
92346,6.655,1/7/2019
92617,3.703,1/7/2019
93552,4.286,1/7/2019
93033,4.05,1/7/2019
93230,8.874,1/7/2019
93230,7.569,1/7/2019
92555,4.468,1/7/2019
92648,7.86,1/7/2019
91354,11.236,1/7/2019
92407,2.604,1/7/2019
92508,13.018,1/7/2019
91320,3.603,1/7/2019
91007,5.119,1/7/2019
90670,2.425,1/7/2019
92571,3.2,1/7/2019
92708,3.182,1/7/2019
92270,9.121,1/7/2019
93510,7.088,1/7/2019
92211,11.282,1/7/2019
90703,5.856,1/7/2019
91355,7.097,1/7/2019
91362,4.339,1/7/2019
90715,3.699,1/7/2019
93036,3.699,1/7/2019
92704,4.918,1/7/2019
92570,4.05,1/7/2019
93505,2.314,1/7/2019
92374,5.389,1/8/2019
90806,283.169,1/8/2019
90815,7.701,1/8/2019
91214,6.574,1/8/2019
92585,5.199,1/8/2019
90703,5.977,1/8/2019
92603,9.776,1/8/2019
92530,2.136,1/8/2019
92530,2.403,1/8/2019
92530,2.403,1/8/2019
92530,2.136,1/8/2019
92679,4.674,1/8/2019
92649,10.993,1/8/2019
92618,2.287,1/8/2019
92335,4.98,1/8/2019
92886,13.804,1/8/2019
92584,6.423,1/8/2019
91789,6.144,1/8/2019
92780,5.865,1/8/2019
91321,4.851,1/8/2019
92392,2.287,1/8/2019
92618,2.287,1/8/2019
92336,2.937,1/8/2019
92336,2.67,1/8/2019
92336,2.136,1/8/2019
92660,2.937,1/8/2019
92336,1.869,1/8/2019
92532,5.586,1/8/2019
90808,7.82,1/8/2019
91350,4.517,1/8/2019
92371,7.086,1/8/2019
92346,7.495,1/8/2019
92646,5.977,1/8/2019
92603,3.712,1/8/2019
92708,8.184,1/8/2019
92345,2.451,1/8/2019
92780,21.186,1/8/2019
93555,7.394,1/8/2019
93065,2.001,1/8/2019
92617,5.478,1/8/2019
92270,21.83,1/8/2019
92270,26.884,1/8/2019
93291,31.781,1/8/2019
92582,6.841,1/8/2019
92831,9.631,1/8/2019
93111,4.452,1/8/2019
93023,6.651,1/8/2019
90620,10.613,1/8/2019
92587,9.606,1/8/2019
92344,4.32,1/8/2019
93514,8.067,1/8/2019
90275,9.824,1/8/2019
93543,9.216,1/8/2019
92395,3.97,1/8/2019
92508,5.25,1/8/2019
92530,7.871,1/8/2019
92870,9.027,1/8/2019
92584,5.027,1/8/2019
91377,5.372,1/8/2019
92563,5.582,1/8/2019
90247,2.845,1/8/2019
91761,2.71,1/8/2019
92405,6.861,1/8/2019
93117,4.66,1/8/2019
92407,3.133,1/8/2019
90631,8.471,1/8/2019
90814,5.783,1/8/2019
90240,8.842,1/8/2019
91390,5.407,1/8/2019
92308,3.631,1/8/2019
91730,2.912,1/8/2019
92584,5.691,1/8/2019
91761,22.055,1/8/2019
93227,4.517,1/8/2019
91744,3.233,1/8/2019
92545,2.189,1/8/2019
92551,6.111,1/8/2019
92411,5.559,1/8/2019
92345,4.558,1/8/2019
92270,7.459,1/8/2019
93535,3.351,1/8/2019
93221,11.745,1/8/2019
93230,6.186,1/8/2019
92532,5.306,1/8/2019
91773,10.915,1/8/2019
92530,8.399,1/8/2019
91789,13.369,1/8/2019
92886,6.562,1/8/2019
92584,3.87,1/8/2019
92223,3.751,1/8/2019
93065,4.477,1/8/2019
92399,7.092,1/8/2019
91744,11.954,1/8/2019
92334,5.294,1/8/2019
91307,10.544,1/8/2019
91766,3.471,1/8/2019
93536,7.775,1/8/2019
91762,3.614,1/8/2019
92313,10.186,1/8/2019
92407,9.772,1/8/2019
93535,3.614,1/8/2019
90805,5.967,1/8/2019
93291,3.444,1/8/2019
92883,3.444,1/8/2019
92223,5.167,1/8/2019
91011,3.515,1/8/2019
93033,2.893,1/8/2019
92596,6.943,1/8/2019
93117,1.798,1/8/2019
92707,4.919,1/8/2019
92704,7.811,1/8/2019
92618,4.517,1/8/2019
93230,13.299,1/8/2019
92602,7.228,1/8/2019
92591,11.705,1/8/2019
93550,4.549,1/8/2019
93033,4.918,1/8/2019
93063,9.577,1/8/2019
93291,7.83,1/8/2019
92320,4.517,1/8/2019
92886,7.462,1/8/2019
92374,7.097,1/8/2019
91764,2.71,1/8/2019
92223,5.678,1/8/2019
92571,2.604,1/8/2019
91762,3.614,1/8/2019
91765,10.102,1/8/2019
92392,2.71,1/8/2019
91350,2.958,1/8/2019
92399,10.798,1/8/2019
92571,3.761,1/8/2019
91351,5.155,1/8/2019
90638,3.504,1/8/2019
92336,4.468,1/8/2019
91769,4.311,1/8/2019
92530,3.614,1/8/2019
90808,7.766,1/8/2019
93535,4.837,1/8/2019
91775,3.818,1/8/2019
90706,5.207,1/8/2019
92883,7.294,1/8/2019
92620,5.778,1/8/2019
92337,5.207,1/8/2019
93230,6.264,1/8/2019
91387,3.614,1/8/2019
92887,11.918,1/8/2019
92869,20.666,1/8/2019
92618,4.517,1/8/2019
91709,5.389,1/8/2019
92602,2.915,1/8/2019
92399,5.974,1/8/2019
90745,5.348,1/8/2019
92692,4.552,1/8/2019
93111,2.845,1/8/2019
93021,5.035,1/8/2019
93551,3.91,1/8/2019
91320,5.3,1/8/2019
92509,9.257,1/8/2019
91320,5.193,1/8/2019
93292,5.989,1/8/2019
91710,7.187,1/8/2019
91355,7.581,1/8/2019
90241,2.934,1/8/2019
92270,9.99,1/8/2019
90631,3.539,1/8/2019
92392,4.189,1/8/2019
93543,4.483,1/8/2019
90706,2.314,1/8/2019
91006,5.741,1/8/2019
92563,3.748,1/8/2019
93010,7.739,1/8/2019
92313,4.945,1/8/2019
90056,7.811,1/8/2019
91302,5.991,1/8/2019
92883,5.974,1/8/2019
92562,6.533,1/8/2019
91784,5.765,1/8/2019
92602,7.078,1/8/2019
91006,6.48,1/8/2019
92509,5.083,1/8/2019
92620,3.116,1/8/2019
91724,10.688,1/8/2019
90056,3.699,1/8/2019
90047,3.624,1/8/2019
92336,3.471,1/8/2019
90660,7.889,1/8/2019
92223,6.668,1/8/2019
91752,4.339,1/8/2019
92277,5.989,1/8/2019
90808,5.554,1/8/2019
90745,4.394,1/8/2019
90807,6.497,1/8/2019
93003,2.561,1/8/2019
92210,9.631,1/9/2019
92886,8.07,1/9/2019
92376,3.734,1/9/2019
92530,2.136,1/9/2019
92557,7.344,1/9/2019
92563,2.287,1/9/2019
92346,5.306,1/9/2019
