Zip,Latitude,Longitude
95355,37.673513,-120.95566
95980,39.918503,-121.337404
90086,33.786594,-118.298662
92867,33.811566,-117.82919
96046,40.639108,-123.47525
93265,36.150892,-118.76204
93433,35.120934,-120.61952
93219,35.87368,-119.26362
94703,37.862526,-122.27582
95148,37.330496,-121.79141
92065,33.035844,-116.8513
90003,33.962714,-118.276
90509,33.786594,-118.298662
91423,34.153628,-118.43222
92007,33.026742,-117.27816
95493,39.19607,-122.96649
94155,37.784827,-122.727802
90261,33.895363,-118.37689
91602,34.152476,-118.36841
93237,36.472713,-118.902899
95114,37.189396,-121.705327
95138,37.255915,-121.77536
95203,37.954823,-121.30735
92629,33.475302,-117.70327
92843,33.763033,-117.9355
92635,33.573176,-117.698173
93009,34.356248,-119.146228
93382,35.294405,-118.905173
90001,33.972914,-118.24878
91927,32.701452,-117.002054
92252,34.175926,-116.29137
95338,37.505484,-119.92527
94545,37.635582,-122.10418
95443,39.03276,-122.74082
91384,34.478797,-118.65255
93212,36.085342,-119.5548
93541,37.973204,-119.12029
90067,34.056709,-118.41183
93643,37.232047,-119.52006
91755,34.05471,-118.11823
91917,32.616539,-116.71187
93705,36.786948,-119.82747
94208,38.377411,-121.444429
92273,32.792631,-115.69162
92340,34.839964,-115.967051
92544,33.708843,-116.90948
91747,33.786594,-118.298662
91962,32.773317,-116.49139
93727,36.753177,-119.69703
90049,34.067409,-118.47528
95518,40.881383,-123.984232
95519,40.963482,-124.07286
95984,40.017767,-121.05989
90240,33.958363,-118.11987
91734,33.786594,-118.298662
93007,34.032383,-119.1343
92350,34.839964,-115.967051
95476,38.277147,-122.47058
95824,38.518356,-121.44378
95220,38.200193,-121.23505
95340,37.294648,-120.47474
95407,38.404991,-122.7275
93728,36.758598,-119.81022
92424,34.839964,-115.967051
95319,37.637531,-120.906593
95408,38.463088,-122.989975
95538,41.892473,-124.145734
92033,33.016928,-116.846046
92336,34.125147,-117.45818
93304,35.344209,-119.02225
93650,36.841454,-119.79832
93741,36.746375,-119.639658
94080,37.652857,-122.4301
95325,37.46336,-120.2561
95910,39.465229,-120.84496
90028,34.098859,-118.32745
92134,32.562106,-117.07166
92618,33.659639,-117.73948
93561,35.132673,-118.50781
93784,36.746375,-119.639658
96113,40.158794,-120.18597
92058,33.016928,-116.846046
93651,37.004865,-119.50748
93901,36.665879,-121.65497
95364,38.275328,-119.89619
90075,33.786594,-118.298662
91506,34.169663,-118.32364
94018,37.510085,-122.473404
91977,32.721145,-116.99612
95635,38.919588,-120.90406
95684,38.60766,-120.5937
96059,40.437443,-121.84678
93268,35.162776,-119.4303
95327,37.867243,-120.49157
95379,37.957978,-120.2297
95610,38.696912,-121.27125
92025,33.106862,-117.07077
94627,37.680181,-121.921498
91932,32.579555,-117.11708
92612,33.650813,-117.81771
95227,38.205817,-121.05361
96070,40.735153,-122.1944
91129,33.786594,-118.298662
94012,37.381144,-122.334825
94624,37.680181,-121.921498
95899,38.377411,-121.444429
92308,34.447959,-117.19222
96079,40.686639,-122.334778
91899,33.786594,-118.298662
91768,34.06521,-117.77932
92321,34.254199,-117.17563
96020,40.289788,-121.23263
94660,37.680181,-121.921498
95924,39.26599,-120.64145
96065,40.876184,-121.88975
94709,37.879625,-122.2668
95022,37.32477,-122.184276
92782,33.739571,-117.78618
93715,36.746375,-119.639658
93444,35.032408,-120.49446
95640,38.346132,-120.94516
95461,38.791139,-122.61069
90073,33.786594,-118.298662
95573,40.945039,-123.65806
95951,39.738889,-122.01675
91208,34.189605,-118.22857
96104,41.527226,-120.13826
91331,34.254751,-118.42406
92570,33.784051,-117.29812
92509,33.998751,-117.44695
92624,33.460727,-117.66467
90102,33.786594,-118.298662
93279,36.393615,-119.118982
95136,37.269343,-121.84939
95230,37.959439,-120.82329
92313,34.030714,-117.31174
92651,33.535325,-117.77192
93021,34.292898,-118.87134
95397,37.60396,-120.937052
95940,39.585648,-121.259009
93457,34.836252,-120.53421
94005,37.682882,-122.40422
90623,33.849327,-118.04395
90745,33.823765,-118.2668
92347,34.956205,-117.21994
92374,34.063264,-117.16888
91737,34.147849,-117.57847
93109,34.40323,-119.72069
93921,36.555248,-121.9212
94064,37.381144,-122.334825
94945,38.117065,-122.56316
93926,36.518179,-121.42557
95346,38.079632,-120.16872
94253,38.377411,-121.444429
95161,37.189396,-121.705327
90505,33.810848,-118.35096
95336,37.812815,-121.21416
95923,40.187554,-121.1152
92364,35.46019,-115.49467
94259,38.377411,-121.444429
95008,37.278843,-121.95446
90061,33.923365,-118.27591
91799,33.786594,-118.298662
92692,33.615462,-117.64093
91608,34.139397,-118.35034
94267,38.377411,-121.444429
95173,37.189396,-121.705327
96130,40.474951,-120.67685
95341,37.186872,-120.650351
96092,39.941595,-122.03746
90018,34.029112,-118.3183
92587,33.692876,-117.25038
94960,37.981623,-122.56884
93905,36.681161,-121.61538
91009,33.786594,-118.298662
93220,35.357018,-118.810069
95955,39.283329,-122.20206
92137,32.85377,-117.119744
93280,35.605045,-119.37143
93412,35.347065,-120.455345
94590,38.105219,-122.24571
95368,37.708727,-121.08928
95571,40.322683,-123.92367
95812,38.377411,-121.444429
95864,38.587805,-121.37809
93750,36.746375,-119.639658
92593,33.752886,-116.055617
94296,38.377411,-121.444429
91408,33.786594,-118.298662
95699,38.437001,-120.845706
91615,33.786594,-118.298662
93036,34.22942,-119.178814
93721,36.733193,-119.78473
94502,37.734379,-122.23952
91412,33.786594,-118.298662
91916,32.890384,-116.62459
92678,33.673979,-117.59457
92694,33.570763,-117.63463
93607,36.589797,-119.899405
95685,38.394464,-120.79015
